"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.00.101",1715,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Cut Nail","MCN","machine cut nail","ca. 1835",,10
"1BOW.00.101",1714,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Cut Nail","UCN","unidentified cut nail","ca. 1790",,1
"1BOW.00.101",1712,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Wire Nail","CWN","common wire nail","1875",,9
"1BOW.00.101",1776,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Metal","Architectural Hardware","Wire Nail","CWN","common wire nail","1875",,4
"1BOW.00.101",1770,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Metal","Architectural Hardware","Wire Nail","OTWN","other wire nail",,,1
"1BOW.00.101",1710,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Wire Nail","RN","wire roofing nail","1875",,1
"1BOW.00.101",1775,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Metal","Architectural Hardware","Wire Nail","URN","unidentified wire nail","1875",,9
"1BOW.00.101",1711,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Wire Nail","URN","unidentified wire nail","1875",,2
"1BOW.00.101",1773,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Metal","Architectural Hardware","Other Nail","UN","unidentified nail",,,19
"1BOW.00.101",1717,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Other Nail","UN","unidentified nail",,,6
"1BOW.00.101",1774,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Metal","Architectural Hardware","Other Nail","USN","unidentified square nail",,,3
"1BOW.00.101",1713,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Other Nail","USN","unidentified square nail",,,8
"1BOW.00.101",1709,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Other Hardware","TACK","tack",,,1
"1BOW.00.101",1757,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Metal","Architectural Hardware","Other Hardware","WAS","washer",,,2
"1BOW.00.101",1707,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Metal","Domestic/Activity","Aluminum","ALUM","other aluminum object",,,1
"1BOW.00.101",1706,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Metal","Domestic/Activity","Cutlery","BUTR","butter knife",,,1
"1BOW.00.101",1704,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","MOI","molded ironstone/whiteware","1845","1885",1
"1BOW.00.101",1760,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","PTI","purple transfer-printed ironstone/whiteware","1825","1875",2
"1BOW.00.101",1705,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","XI","undecorated ironstone/whiteware","1820","1900+",3
"1BOW.00.101",1763,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","XI","undecorated ironstone/whiteware","1820","1900+",8
"1BOW.00.101",1702,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Ceramics","Sherd","Porcelain","OTZ","other porcelain",,,1
"1BOW.00.101",1762,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Ceramics","Sherd","Porcelain","UNZ","undecorated porcelain",,,1
"1BOW.00.101",1754,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Ceramics","Sherd","Redware","XGR","unglazed redware",,,3
"1BOW.00.101",1701,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Ceramics","Sherd","Semi-Vitreous China","XSV","undecorated semi-vitreous china","ca. 1880",,1
"1BOW.00.101",1764,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Ceramics","Sherd","Stoneware","OTSW","other stoneware",,,1
"1BOW.00.101",1703,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Ceramics","Sherd","Stoneware","OTSW","other stoneware",,,1
"1BOW.00.101",1761,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Ceramics","Sherd","White Earthenware","ODWE","other decorated unidentified white earthenware",,,1
"1BOW.00.101",1698,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Ceramics","Non-Tableware Ceramic","Dolls","DOLL","ceramic doll part",,,2
"1BOW.00.101",1753,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Ceramics","Brick","Brick","OBR","unidentified brick",,,2
"1BOW.00.101",1697,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",,,79
"1BOW.00.101",1765,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",,,52
"1BOW.00.101",1699,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Glass","Glass Vessel","Curved Glass","ACG","aqua curved glass",,,7
"1BOW.00.101",1768,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Domestic","Glass","Glass Vessel","Curved Glass","ACG","aqua curved glass",,,2
