"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"OTGW",8,"Ceramics",2,"Sherd",13,"Tin-Glazed Ware",98,"other tin-glazed ware",NA,NA
"OTHG",9,"Glass",2,"Glass Object",99,"Other Glass Object",99,"other glass object",NA,NA
"OTHW",8,"Ceramics",2,"Sherd",16,"Whiteware",99,"other whiteware",NA,NA
"OTI",8,"Ceramics",2,"Sherd",16,"Whiteware",14,"brown transfer-printed whiteware",1825,1875
"OTII",8,"Ceramics",2,"Sherd",4,"Ironstone",99,"other ironstone",1813,1885
"OTIL",8,"Ceramics",6,"Architectural Ceramic",4,"Tile",99,"other tile",NA,NA
"OTJW",7,"Metal",2,"Personal Item",4,"Jewelry",99,"other jewelry",NA,NA
"OTLR",13,"Other",3,"Leather",99,"Other Leather",99,"other leather",NA,NA
"OTOL",7,"Metal",6,"Domestic/Activity",26,"Tools",19,"other type of tool",NA,NA
"OTP",8,"Ceramics",2,"Sherd",5,"Pearlware",7,"brown transfer-printed pearlware",1787,1830
"OTPC",8,"Ceramics",2,"Sherd",3,"Creamware",15,"brown transfer-printed creamware",1765,1815
"OTPP",2,"Prehistoric Pottery",6,"Other Prehistoric Pottery",99,"Other Prehistoric Ceramic",99,"other prehistoric ceramic",NA,NA
"OTPW",8,"Ceramics",2,"Sherd",5,"Pearlware",99,"other pearlware",1780,1830
"OTRR",7,"Metal",6,"Domestic/Activity",21,"Locomotive",99,"other railroad metal",NA,NA
"OTRW",8,"Ceramics",2,"Sherd",9,"Redware",99,"other redware",NA,NA
"OTS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",6,"brown slip-trail decorated redware",1770,1830
"OTSD",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",96,"other slip-decorated redware",NA,NA
"OTSL",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",99,"other slip-decorated redware",1770,1830
"OTSV",8,"Ceramics",2,"Sherd",10,"Semi-Vitreous China",99,"other semi-vitreous china",1880,1970
